stage,year,employment_yoy_pct
Upstream,2025,0.023936154797965514
Upstream,2026,0.023936154797965514
Upstream,2027,0.023936154797965514
Upstream,2028,0.023936154797965514
Upstream,2029,0.023936154797965514
Upstream,2030,0.023936154797965514
Upstream,2031,0.023936154797965514
Upstream,2032,0.023936154797965514
Upstream,2033,0.023936154797965514
Upstream,2034,0.023936154797965514
OEM,2025,0.12786394544186397
OEM,2026,0.12786394544186397
OEM,2027,0.12786394544186397
OEM,2028,0.12786394544186397
OEM,2029,0.12786394544186397
OEM,2030,0.12786394544186397
OEM,2031,0.12786394544186397
OEM,2032,0.12786394544186397
OEM,2033,0.12786394544186397
OEM,2034,0.12786394544186397
Downstream,2025,0.06787847587841345
Downstream,2026,0.06787847587841345
Downstream,2027,0.06787847587841345
Downstream,2028,0.06787847587841345
Downstream,2029,0.06787847587841345
Downstream,2030,0.06787847587841345
Downstream,2031,0.06787847587841345
Downstream,2032,0.06787847587841345
Downstream,2033,0.06787847587841345
Downstream,2034,0.06787847587841345
