segment_id,segment_name,bea_BLS,bea_Moody,lightcast_BLS,lightcast_Moody
1,1. Materials & Processing,73.47344890185552,71.05895786726867,428.9104913512172,414.81559650844065
2,2. Equipment Manufacturing,16.866375358572967,16.176922025247244,133.20798688519824,127.76279260776109
3,3.Forging and foundries,10.14338901356674,9.257827770481185,61.18887662672786,55.846825998865775
4,4. Parts & Machining,15.162387445380324,14.620588296139395,141.22887115030375,136.18232537951855
5,5. Component Systems,15.97300886730184,14.888339726576504,90.370513939901,84.2337798707952
6,6. Engineering & Design,6.0810119629248645,6.103723718371698,114.02070493570457,114.4465568140044
7,7. Core Automotive,1593.6606319069508,1716.8596265915078,1593.6606319069508,1716.8596265915078
8,"8. Motor Vehicle Parts, Materia",1061.9771423298923,1078.6211385839047,1061.9771423298923,1078.6211385839047
9,"9. Dealers, Maintenance, & Repa",604.8165609220031,614.7492348158778,604.8165609220031,614.7492348158778
10,10. Logistics,1015.1044030868313,896.1794375723249,220.8030140518063,194.9347479387255
