employment_qcew_2024,naics_code,industry_name
5524,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
4347,3255,"Paint, Coating, and Adhesive Manufacturing"
34371,3261,Plastics Product Manufacturing
5147,3262,Rubber Product Manufacturing
2802,3272,Glass and Glass Product Manufacturing
3258,3311,Iron and Steel Mills and Ferroalloy Manufacturing
1974,3312,Steel Product Manufacturing from Purchased Steel
2698,3313,Alumina and Aluminum Production and Processing
1262,3314,Nonferrous Metal (except Aluminum) Production and Processing
9349,3315,Foundries
6988,3321,Forging and Stamping
2869,3326,Spring and Wire Product Manufacturing
24530,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
11221,3328,"Coating, Engraving, Heat Treating, and Allied Activities"
10865,3329,Other Fabricated Metal Product Manufacturing
29604,3335,Metalworking Machinery Manufacturing
4970,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
17946,3339,Other General Purpose Machinery Manufacturing
12179,3344,Semiconductor and Other Electronic Component Manufacturing
8867,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
4446,3359,Other Electrical Equipment and Component Manufacturing
48138,3361,Motor Vehicle Manufacturing
7921,3362,Motor Vehicle Body and Trailer Manufacturing
117023,3363,Motor Vehicle Parts Manufacturing
25978,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
6359,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers
24407,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers"
8732,4239,Miscellaneous Durable Goods Merchant Wholesalers
3846,4247,Petroleum and Petroleum Products Merchant Wholesalers
38262,4411,Automobile Dealers
18192,4413,"Automotive Parts, Accessories, and Tire Stores"
27826,4571,Gasoline Stations
35249,4841,General Freight Trucking
11640,4842,Specialized Freight Trucking
84452,5413,"Architectural, Engineering, and Related Services"
10458,5414,Specialized Design Services
25297,5417,Scientific Research and Development Services
31338,8111,Automotive Repair and Maintenance
